,,,,,,,,,,,,,,Performance,,,,,,,Standard,,,,,,,,
Rk,Player,Gls,Sh,Date,Age,Nation,Team,,Opp,Comp,Result,Start,Min,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Pos.,HOME/AWAY
47,Bradley Dack,1,1,12/10/2022,28-344,eng ENG,Blackburn,,Preston,eng Championship,L 1-4,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,5.9,0,"MF,FW",HOME
48,Bradley Dack,1,1,1/1/2023,29-001,eng ENG,Blackburn,,Cardiff City,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,20.3,0,"MF,FW",HOME
49,Ian Poveda,1,2,11/6/2021,21-270,eng ENG,Blackburn,,Sheffield Utd,eng Championship,W 3-1,Y,89,1,1,2,1,0,0,0,2,0.50,0.50,2,100.0,11.4,0,"FW,MF",HOME
50,Ben Brereton,1,4,9/14/2021,22-149,cl CHI,Blackburn,,Hull City,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,4,0.25,0.50,2,50.0,14.3,0,FW,HOME
51,Ben Brereton,1,5,12/29/2021,22-255,cl CHI,Blackburn,,Barnsley,eng Championship,W 2-1,Y,90,1,0,1,1,0,0,0,5,0.20,0.50,2,40.0,15.6,0,FW,HOME
52,Ben Brereton,1,3,11/6/2021,22-202,cl CHI,Blackburn,,Sheffield Utd,eng Championship,W 3-1,Y,90,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,11.9,0,FW,HOME
53,Ben Brereton,1,2,10/1/2022,23-166,cl CHI,Blackburn,,Millwall,eng Championship,W 2-1,Y,89,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,11.7,0,"FW,MF",HOME
54,Ben Brereton,1,3,9/3/2022,23-138,cl CHI,Blackburn,,Bristol City,eng Championship,L 2-3,Y,90,1,0,1,1,0,0,0,3,0.33,1.00,1,33.3,14.1,0,"FW,MF",HOME
55,Ben Brereton,1,3,11/5/2022,23-201,cl CHI,Blackburn,,Huddersfield,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,3,0.33,0.33,3,100.0,11.4,0,"FW,MF",HOME
56,Ben Brereton,1,2,12/4/2021,22-230,cl CHI,Blackburn,,Preston,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,10.7,0,FW,HOME
57,Ben Brereton,1,6,8/7/2021,22-111,cl CHI,Blackburn,,Swansea City,eng Championship,W 2-1,Y,90,1,0,1,0,1,1,0,6,0.00,0.00,1,16.7,19.7,0,FW,HOME
58,Ben Brereton,1,4,10/18/2022,23-183,cl CHI,Blackburn,,Sunderland,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,4,0.25,0.50,2,50.0,24.0,0,"FW,MF",HOME
59,Ben Brereton,1,2,8/21/2021,22-125,cl CHI,Blackburn,,West Brom,eng Championship,L 1-2,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,6.6,0,FW,HOME
60,Ben Brereton,1,3,3/15/2023,23-331,cl CHI,Blackburn,,Reading,eng Championship,W 2-1,Y,68,1,0,1,1,0,0,0,3,0.33,0.50,2,66.7,14.0,0,"FW,MF",HOME
61,Ben Brereton,1,2,8/14/2022,23-118,cl CHI,Blackburn,,West Brom,eng Championship,W 2-1,Y,90,1,1,2,1,0,0,0,2,0.50,1.00,1,50.0,19.2,0,"FW,MF",HOME
62,Andreas Weimann,1,2,1/15/2025,33-163,at AUT,Blackburn,,Portsmouth,eng Championship,W 3-0,Y,76,1,1,2,1,0,0,0,2,0.50,1.00,1,50.0,14.0,0,"FW,MF",HOME
63,Andreas Weimann,1,1,8/9/2024,33-004,at AUT,Blackburn,,Derby County,eng Championship,W 4-2,N,26,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,3.2,0,"FW,MF",HOME
64,Yuki Ohashi,1,1,12/26/2024,28-152,jp JPN,Blackburn,,Sunderland,eng Championship,D 2-2,Y,59,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,2.3,0,"FW,MF",HOME
65,Yuki Ohashi,1,2,8/9/2024,28-013,jp JPN,Blackburn,,Derby County,eng Championship,W 4-2,N,26,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,16.5,0,"FW,MF",HOME
66,Joe Rankin-Costello,1,2,10/21/2023,24-087,eng ENG,Blackburn,,Cardiff City,eng Championship,W 1-0,Y,77,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,12.4,0,"MF,DF",HOME
67,Joe Rankin-Costello,1,4,8/24/2024,25-029,eng ENG,Blackburn,,Oxford United,eng Championship,W 2-1,Y,64,1,0,1,1,0,0,0,4,0.25,1.00,1,25.0,18.9,0,"DF,FW",HOME
68,James Hill,1,2,11/29/2023,21-323,eng ENG,Blackburn,,Birmingham City,eng Championship,W 4-2,Y,90,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,16.7,0,DF,HOME
69,Reda Khadra,1,2,11/6/2021,20-125,de GER,Blackburn,,Sheffield Utd,eng Championship,W 3-1,Y,66,1,0,1,1,0,0,0,2,0.50,1.00,1,50.0,18.1,0,"FW,MF",HOME
70,Reda Khadra,1,1,12/18/2021,20-167,de GER,Blackburn,,Birmingham City,eng Championship,W 4-0,Y,69,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,9.0,0,"FW,MF",HOME
71,Reda Khadra,1,4,2/26/2022,20-237,de GER,Blackburn,,QPR,eng Championship,W 1-0,Y,90,1,0,1,1,0,0,0,4,0.25,0.33,3,75.0,19.0,1,"FW,MF",HOME
72,Makhtar Gueye,1,2,1/15/2025,27-042,sn SEN,Blackburn,,Portsmouth,eng Championship,W 3-0,N,35,1,0,1,1,0,0,0,2,0.50,0.50,2,100.0,9.3,0,FW,HOME
73,Callum Brittain,1,3,1/15/2025,26-309,eng ENG,Blackburn,,Portsmouth,eng Championship,W 3-0,Y,90,1,1,2,1,0,0,0,3,0.33,0.50,2,66.7,13.5,0,DF,HOME
74,Owen Beck,1,1,12/14/2024,22-127,wls WAL,Blackburn,,Luton Town,eng Championship,W 2-0,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,11.1,0,"DF,FW",HOME
75,John Buckley,1,3,12/18/2021,22-066,eng ENG,Blackburn,,Birmingham City,eng Championship,W 4-0,Y,62,1,0,1,1,0,0,0,3,0.33,1.00,1,33.3,15.3,0,"MF,FW",HOME
76,Harry Leonard,1,2,11/29/2023,20-078,eng ENG,Blackburn,,Birmingham City,eng Championship,W 4-2,N,75,1,1,2,1,0,0,0,2,0.50,1.00,1,50.0,11.8,0,FW,HOME
77,Harry Leonard,1,3,8/5/2023,19-327,eng ENG,Blackburn,,West Brom,eng Championship,W 2-1,Y,90,1,0,1,1,0,0,0,3,0.33,1.00,1,33.3,12.7,0,FW,HOME
78,Harry Leonard,1,5,9/20/2023,20-008,eng ENG,Blackburn,,Sunderland,eng Championship,L 1-3,Y,57,1,0,1,1,0,0,0,5,0.20,1.00,1,20.0,6.0,0,FW,HOME
79,Harry Leonard,1,1,12/26/2024,21-105,eng ENG,Blackburn,,Sunderland,eng Championship,D 2-2,N,4,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,5.1,0,"FW,MF",HOME
80,Ryan Hedges,1,1,12/29/2022,27-174,wls WAL,Blackburn,,Middlesbrough,eng Championship,L 1-2,Y,90,1,0,1,1,0,0,0,1,1.00,1.00,1,100.0,21.1,0,"FW,DF",HOME
81,Ryan Hedges,1,4,9/13/2022,27-067,wls WAL,Blackburn,,Watford,eng Championship,W 2-0,Y,89,1,0,1,1,0,0,0,4,0.25,0.50,2,50.0,20.1,0,"FW,DF",HOME
